hotel,lead_time,arrival_year,arrival_month,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email,is_canceled,arrival_day,arrival_date,Booking_ID
Resort Hotel,45,2015,7,1,3,Online TA,PRT,108.8,Alex.B@zoho.com,1,2,2015-07-02,
Resort Hotel,40,2015,7,1,3,Online TA,PRT,108.8,Virginia.H@aol.com,1,2,2015-07-02,
Resort Hotel,15,2015,7,1,3,Online TA,ESP,98.0,John_Smith@xfinity.com,0,2,2015-07-02,
Resort Hotel,36,2015,7,1,3,Online TA,PRT,108.8,JBarton@hotmail.com,0,2,2015-07-02,
Resort Hotel,43,2015,7,1,3,Online TA,PRT,108.8,Richard.Holt@hotmail.com,1,2,2015-07-02,
Resort Hotel,70,2015,7,2,3,Direct,ROU,137.0,Amy.Green56@gmail.com,0,2,2015-07-02,
Resort Hotel,45,2015,7,2,3,Online TA,PRT,117.81,Perez.Kimberly84@hotmail.com,1,2,2015-07-02,
Resort Hotel,45,2015,7,2,3,Offline TA/TO,IRL,79.5,CArmstrong@mail.com,0,2,2015-07-02,
Resort Hotel,16,2015,7,2,3,Direct,ESP,123.0,ScottHammond41@verizon.com,0,2,2015-07-02,
Resort Hotel,70,2015,7,2,3,Direct,ROU,137.0,Debra.Fuller@protonmail.com,0,2,2015-07-02,
Resort Hotel,107,2015,7,2,5,Online TA,PRT,110.7,RachelDavis@mail.com,0,2,2015-07-02,
Resort Hotel,47,2015,7,2,5,Online TA,PRT,153.0,Mccormick.Michael19@aol.com,1,2,2015-07-02,
Resort Hotel,96,2015,7,2,5,Offline TA/TO,ESP,58.95,AnnSullivan@att.com,0,2,2015-07-02,
Resort Hotel,113,2015,7,2,5,Offline TA/TO,NOR,82.88,Rachel_W79@xfinity.com,0,2,2015-07-02,
Resort Hotel,90,2015,7,2,5,Offline TA/TO,GBR,82.35,Carla_Ferguson@att.com,0,2,2015-07-02,
Resort Hotel,50,2015,7,2,5,Online TA,IRL,119.35,Hardin_Greg@gmail.com,0,2,2015-07-02,
Resort Hotel,113,2015,7,2,5,Offline TA/TO,NOR,67.58,Ho_Rachel74@aol.com,0,2,2015-07-02,
Resort Hotel,93,2015,7,3,8,Offline TA/TO,IRL,56.01,Joseph_Elizabeth@yandex.com,0,2,2015-07-02,
Resort Hotel,76,2015,7,4,10,Offline TA/TO,OMN,110.7,Stephen.Brown@att.com,0,2,2015-07-02,
Resort Hotel,3,2015,7,0,1,Online TA,ESP,88.2,Scott_Ward11@hotmail.com,0,2,2015-07-02,
Resort Hotel,1,2015,7,0,1,Online TA,ARG,147.0,Derrick_Bailey@protonmail.com,0,2,2015-07-02,
Resort Hotel,1,2015,7,0,1,Direct,ESP,107.0,Jessica_Cole@yahoo.com,0,2,2015-07-02,
Resort Hotel,0,2015,7,0,1,Direct,PRT,147.0,Russo.Reginald65@comcast.net,0,2,2015-07-02,
Resort Hotel,0,2015,7,0,1,Online TA,PRT,117.9,William.Sanchez@mail.com,0,2,2015-07-02,
Resort Hotel,0,2015,7,0,1,Direct,PRT,123.0,Diane.Rose@protonmail.com,0,2,2015-07-02,
Resort Hotel,14,2015,7,0,2,Online TA,USA,98.0,Nathan_Smith@comcast.net,0,2,2015-07-02,
Resort Hotel,10,2015,7,0,2,Online TA,PRT,117.81,AndrewBullock17@hotmail.com,0,2,2015-07-02,
Resort Hotel,5,2015,7,0,2,Online TA,IRL,135.0,Nancy.M@protonmail.com,0,2,2015-07-02,
Resort Hotel,17,2015,7,0,3,Direct,ESP,133.0,Barbara.Cole@hotmail.com,0,2,2015-07-02,
Resort Hotel,93,2015,7,0,3,Offline TA/TO,IRL,58.95,Aguilar.Sheri22@att.com,0,2,2015-07-02,
Resort Hotel,3,2015,7,0,3,Online TA,PRT,136.33,Sandra_Graham@xfinity.com,1,2,2015-07-02,
Resort Hotel,10,2015,7,0,2,Online TA,USA,153.0,Cabrera.Christopher@yahoo.com,0,3,2015-07-03,
Resort Hotel,3,2015,7,0,2,Online TA,ESP,110.5,Flores_Melinda@yahoo.com,0,3,2015-07-03,
Resort Hotel,51,2015,7,0,2,Online TA,POL,97.0,Michael.W@mail.com,0,3,2015-07-03,
Resort Hotel,71,2015,7,0,2,Offline TA/TO,PRT,110.3,Brent.Hamilton15@gmail.com,1,3,2015-07-03,
Resort Hotel,63,2015,7,0,2,Online TA,PRT,82.0,JBradford@outlook.com,1,3,2015-07-03,
Resort Hotel,62,2015,7,0,2,Online TA,PRT,97.0,MarissaRobinson@mail.com,1,3,2015-07-03,
Resort Hotel,101,2015,7,0,2,Online TA,PRT,73.8,Jennifer_Curry@hotmail.com,1,3,2015-07-03,
Resort Hotel,2,2015,7,0,2,Offline TA/TO,PRT,91.5,Maldonado_Teresa95@protonmail.com,0,3,2015-07-03,
Resort Hotel,15,2015,7,0,2,Online TA,ESP,114.5,BryanPerez@gmail.com,0,3,2015-07-03,
Resort Hotel,51,2015,7,0,2,Online TA,PRT,110.3,Timothy.H@yandex.com,1,3,2015-07-03,
Resort Hotel,3,2015,7,1,2,Online TA,ESP,90.9,Angela.Williams@xfinity.com,0,3,2015-07-03,
Resort Hotel,48,2015,7,1,2,Online TA,PRT,123.0,LMD@yahoo.com,1,3,2015-07-03,
Resort Hotel,2,2015,7,2,2,Online TA,PRT,122.0,AHoffman@protonmail.com,0,3,2015-07-03,
Resort Hotel,72,2015,7,2,2,Offline TA/TO,DEU,110.7,Michael_Yu59@comcast.net,0,3,2015-07-03,
Resort Hotel,81,2015,7,2,6,Offline TA/TO,PRT,85.86,Anthony_Moss18@yandex.com,0,3,2015-07-03,
Resort Hotel,99,2015,7,2,7,Offline TA/TO,FRA,58.95,Tony_O@outlook.com,0,3,2015-07-03,
Resort Hotel,368,2015,7,3,7,Offline TA/TO,PRT,55.68,Clayton.Cowan31@protonmail.com,1,3,2015-07-03,
Resort Hotel,364,2015,7,3,7,Offline TA/TO,GBR,55.68,DDS_Mrs.@att.com,0,3,2015-07-03,
Resort Hotel,81,2015,7,3,7,Direct,PRT,124.0,Young.Raymond92@verizon.com,1,3,2015-07-03,
Resort Hotel,99,2015,7,3,7,Offline TA/TO,GBR,111.15,Schroeder.Lisa@comcast.net,0,3,2015-07-03,
Resort Hotel,324,2015,7,4,10,Offline TA/TO,GBR,134.73,Kristin_Roberts56@protonmail.com,0,3,2015-07-03,
Resort Hotel,69,2015,7,4,10,Online TA,GBR,92.45,Howard_W@outlook.com,0,3,2015-07-03,
Resort Hotel,79,2015,7,6,15,Offline TA/TO,PRT,108.73,Murphy.Jennifer59@yandex.com,1,3,2015-07-03,
Resort Hotel,12,2015,7,0,1,Online TA,GBR,73.8,JoshuaDelacruz@outlook.com,0,3,2015-07-03,
Resort Hotel,9,2015,7,0,1,Online TA,PRT,98.0,Colleen.Murphy@mail.com,0,3,2015-07-03,
Resort Hotel,1,2015,7,0,1,Online TA,ESP,131.0,RHebert34@zoho.com,0,3,2015-07-03,
Resort Hotel,21,2015,7,0,1,Online TA,PRT,123.0,RCampbell@verizon.com,0,3,2015-07-03,
Resort Hotel,9,2015,7,0,1,Online TA,USA,94.71,Lang_Matthew34@hotmail.com,0,3,2015-07-03,
Resort Hotel,109,2015,7,0,1,Online TA,BEL,123.0,David_M@aol.com,0,3,2015-07-03,
Resort Hotel,109,2015,7,0,2,Online TA,PRT,123.0,JillKey89@att.com,1,3,2015-07-03,
Resort Hotel,72,2015,7,0,2,Online TA,PRT,73.8,NicoleCampbell26@zoho.com,1,3,2015-07-03,
Resort Hotel,63,2015,7,2,5,Online TA,PRT,117.0,Hill.James@mail.com,1,3,2015-07-03,
Resort Hotel,63,2015,7,2,5,Offline TA/TO,ESP,196.54,Daniel_R@xfinity.com,0,3,2015-07-03,
Resort Hotel,101,2015,7,2,5,Online TA,PRT,99.3,Porter_Jacob@verizon.com,0,3,2015-07-03,
Resort Hotel,102,2015,7,2,5,Direct,DEU,90.95,Wilson_Susan@comcast.net,0,3,2015-07-03,
Resort Hotel,4,2015,7,2,1,Direct,ESP,92.67,Barbara.A87@outlook.com,0,4,2015-07-04,
Resort Hotel,98,2015,7,2,1,Offline TA/TO,FRA,71.55,NoahBowers@protonmail.com,0,4,2015-07-04,
Resort Hotel,92,2015,7,2,4,Offline TA/TO,FRA,96.49,Morales.Thomas@att.com,0,4,2015-07-04,
Resort Hotel,95,2015,7,2,4,Online TA,PRT,85.8,Christopher.Wilson@mail.com,0,4,2015-07-04,
Resort Hotel,102,2015,7,2,5,Online TA,PRT,96.3,Marcus.Mitchell40@hotmail.com,0,4,2015-07-04,
Resort Hotel,26,2015,7,2,5,Online TA,PRT,163.0,JBailey29@aol.com,1,4,2015-07-04,
Resort Hotel,73,2015,7,2,5,Direct,PRT,172.0,DWeaver@yandex.com,1,4,2015-07-04,
Resort Hotel,102,2015,7,2,5,Online TA,PRT,110.7,WilliamGordon@xfinity.com,1,4,2015-07-04,
Resort Hotel,115,2015,7,2,5,Offline TA/TO,PRT,58.95,NAcosta52@gmail.com,0,4,2015-07-04,
Resort Hotel,102,2015,7,2,5,Online TA,PRT,73.8,Angel_S@zoho.com,0,4,2015-07-04,
Resort Hotel,86,2015,7,2,5,Online TA,CHE,97.0,Rebecca.Brooks84@yahoo.com,0,4,2015-07-04,
Resort Hotel,78,2015,7,2,5,Online TA,PRT,139.0,John_R@gmail.com,0,4,2015-07-04,
Resort Hotel,52,2015,7,2,5,Online TA,GBR,67.24,JulieRivera@verizon.com,0,4,2015-07-04,
Resort Hotel,29,2015,7,2,6,Online TA,PRT,116.5,Watson.Roberto@xfinity.com,0,4,2015-07-04,
Resort Hotel,101,2015,7,2,6,Online TA,PRT,96.3,Joseph_Yu48@aol.com,1,4,2015-07-04,
Resort Hotel,109,2015,7,2,6,Online TA,PRT,123.0,Campbell_George@zoho.com,0,4,2015-07-04,
Resort Hotel,92,2015,7,4,6,Offline TA/TO,GBR,71.55,Edwin_Norton@aol.com,0,4,2015-07-04,
Resort Hotel,92,2015,7,4,6,Offline TA/TO,PRT,71.55,LeslieLewis@xfinity.com,0,4,2015-07-04,
Resort Hotel,79,2015,7,4,6,Direct,PRT,149.0,Adkins_Wendy86@gmail.com,0,4,2015-07-04,
Resort Hotel,2,2015,7,0,1,Online TA,PRT,163.0,Brenda.Rodgers@xfinity.com,0,4,2015-07-04,
Resort Hotel,30,2015,7,0,1,Offline TA/TO,PRT,79.5,MMD@hotmail.com,0,4,2015-07-04,
Resort Hotel,51,2015,7,0,1,Online TA,PRT,105.0,Todd.Cox97@verizon.com,1,4,2015-07-04,
Resort Hotel,36,2015,7,0,1,Direct,PRT,123.0,LindaAnderson@att.com,1,4,2015-07-04,
Resort Hotel,73,2015,7,0,1,Online TA,PRT,73.8,Nelson_Sharon70@xfinity.com,1,4,2015-07-04,
Resort Hotel,33,2015,7,0,1,Online TA,PRT,113.0,Mario_Bennett@hotmail.com,1,4,2015-07-04,
Resort Hotel,32,2015,7,0,1,Complementary,PRT,0.0,Kristin.Campos48@att.com,0,4,2015-07-04,
Resort Hotel,8,2015,7,0,1,Online TA,ESP,123.0,Kennedy.Tamara@comcast.net,0,4,2015-07-04,
Resort Hotel,100,2015,7,1,1,Online TA,FRA,73.8,Tiffany.Phillips@outlook.com,0,4,2015-07-04,
Resort Hotel,1,2015,7,1,1,Online TA,PRT,114.5,LarryVelasquez83@yahoo.com,0,4,2015-07-04,
Resort Hotel,100,2015,7,1,1,Online TA,FRA,73.8,Wolf.Troy22@gmail.com,0,4,2015-07-04,
Resort Hotel,100,2015,7,1,1,Online TA,FRA,73.8,Richard.J@att.com,0,4,2015-07-04,
Resort Hotel,9,2015,7,1,0,Online TA,ESP,88.2,Porter.Samantha@protonmail.com,0,5,2015-07-05,
Resort Hotel,5,2015,7,1,0,Online TA,PRT,97.0,Bass_Michael@att.com,1,5,2015-07-05,
Resort Hotel,0,2015,7,1,0,Online TA,ESP,85.1,Chavez_Glen@xfinity.com,0,5,2015-07-05,
Resort Hotel,9,2015,7,1,0,Online TA,DEU,89.0,Jones_Rebecca@comcast.net,0,5,2015-07-05,
Resort Hotel,2,2015,7,1,0,Online TA,PRT,80.1,Gallegos_Dr.61@xfinity.com,0,5,2015-07-05,
Resort Hotel,2,2015,7,1,0,Online TA,PRT,98.0,Veronica.A@comcast.net,0,5,2015-07-05,
Resort Hotel,9,2015,7,1,0,Online TA,DEU,101.0,Anderson_Mike50@mail.com,0,5,2015-07-05,
Resort Hotel,5,2015,7,1,0,Online TA,PRT,97.0,Foster.James@att.com,1,5,2015-07-05,
Resort Hotel,2,2015,7,1,0,Direct,PRT,167.0,Brian_Fisher86@comcast.net,0,5,2015-07-05,
Resort Hotel,44,2015,7,2,0,Online TA,PRT,225.0,Elizabeth.W17@zoho.com,0,5,2015-07-05,
Resort Hotel,80,2015,7,2,0,Online TA,FRA,97.0,Joshua.G42@gmail.com,0,5,2015-07-05,
Resort Hotel,97,2015,7,2,2,Online TA,ESP,87.3,Kevin.Lee17@verizon.com,0,5,2015-07-05,
Resort Hotel,109,2015,7,2,3,Offline TA/TO,CN,85.59,EricPugh@mail.com,0,5,2015-07-05,
Resort Hotel,30,2015,7,2,3,Online TA,ESP,123.0,KKent@comcast.net,0,5,2015-07-05,
Resort Hotel,64,2015,7,2,3,Online TA,PRT,107.0,Hall_Ashley@zoho.com,0,5,2015-07-05,
Resort Hotel,39,2015,7,2,4,Online TA,ESP,163.0,RBailey@comcast.net,0,5,2015-07-05,
Resort Hotel,90,2015,7,2,4,Online TA,PRT,82.0,West_Pamela@zoho.com,0,5,2015-07-05,
Resort Hotel,34,2015,7,2,4,Online TA,PRT,163.0,PatrickCurry89@att.com,1,5,2015-07-05,
Resort Hotel,93,2015,7,2,5,Offline TA/TO,PRT,105.5,Stacey.C@yandex.com,1,5,2015-07-05,
Resort Hotel,97,2015,7,2,5,Direct,PRT,164.2,Patricia_S@xfinity.com,0,5,2015-07-05,
Resort Hotel,29,2015,7,2,5,Online TA,IRL,97.29,Anderson_John67@yandex.com,0,5,2015-07-05,
Resort Hotel,101,2015,7,2,5,Online TA,PRT,114.0,Dawn.A68@protonmail.com,1,5,2015-07-05,
Resort Hotel,27,2015,7,2,5,Offline TA/TO,ESP,98.4,Molly.Mclaughlin23@xfinity.com,0,5,2015-07-05,
Resort Hotel,8,2015,7,4,5,Online TA,CHE,175.0,Amanda_Fox@verizon.com,0,5,2015-07-05,
Resort Hotel,82,2015,7,4,6,Offline TA/TO,PRT,63.6,Rose_G65@outlook.com,0,5,2015-07-05,
Resort Hotel,94,2015,7,4,6,Direct,PRT,124.45,Bass_Alexander65@zoho.com,0,5,2015-07-05,
Resort Hotel,110,2015,7,4,7,Offline TA/TO,GBR,110.7,LeslieWilson@comcast.net,0,5,2015-07-05,
Resort Hotel,96,2015,7,4,10,Offline TA/TO,GBR,74.07,EPennington@protonmail.com,0,5,2015-07-05,
Resort Hotel,79,2015,7,4,10,Offline TA/TO,GBR,134.1,MaryMendez@protonmail.com,0,5,2015-07-05,
Resort Hotel,115,2015,7,1,4,Online TA,PRT,167.0,Rebecca.Price@zoho.com,0,6,2015-07-06,
Resort Hotel,111,2015,7,1,3,Online TA,PRT,123.0,DDDS@comcast.net,0,6,2015-07-06,
Resort Hotel,51,2015,7,1,3,Online TA,USA,117.81,Jennifer_Terry58@outlook.com,0,6,2015-07-06,
Resort Hotel,94,2015,7,1,3,Offline TA/TO,CN,171.32,Andrew.B@yahoo.com,0,6,2015-07-06,
Resort Hotel,81,2015,7,1,3,Direct,CHE,210.0,Day.Evelyn@outlook.com,0,6,2015-07-06,
Resort Hotel,84,2015,7,1,3,Online TA,PRT,97.0,Anderson_Natalie@gmail.com,0,6,2015-07-06,
Resort Hotel,51,2015,7,1,3,Online TA,USA,117.81,Morgan_Kathryn@mail.com,0,6,2015-07-06,
Resort Hotel,111,2015,7,0,0,Online TA,PRT,0.0,Stacy.Simmons@comcast.net,0,6,2015-07-06,
Resort Hotel,0,2015,7,0,0,Direct,PRT,0.0,Reyes.Rebecca@xfinity.com,0,6,2015-07-06,
Resort Hotel,2,2015,7,1,0,Direct,PRT,131.0,Tracey.Hebert39@xfinity.com,0,6,2015-07-06,
Resort Hotel,7,2015,7,1,1,Online TA,PRT,98.0,Jessica_C20@aol.com,0,6,2015-07-06,
Resort Hotel,98,2015,7,1,1,Online TA,USA,87.3,Stephanie.R@mail.com,0,6,2015-07-06,
Resort Hotel,95,2015,7,1,2,Online TA,GRC,97.0,Richard.Arias28@att.com,0,6,2015-07-06,
Resort Hotel,48,2015,7,1,3,Online TA,PRT,167.0,Barr.Courtney@mail.com,1,6,2015-07-06,
Resort Hotel,66,2015,7,1,3,Offline TA/TO,PRT,91.5,Justin.W@protonmail.com,0,6,2015-07-06,
Resort Hotel,104,2015,7,1,3,Online TA,PRT,73.8,Audrey.Garcia66@verizon.com,0,6,2015-07-06,
Resort Hotel,28,2015,7,1,4,Online TA,PRT,123.0,GeorgeMcgee@comcast.net,0,6,2015-07-06,
Resort Hotel,34,2015,7,1,4,Direct,PRT,175.0,Michelle.P@xfinity.com,0,6,2015-07-06,
Resort Hotel,98,2015,7,1,5,Online TA,ESP,117.8,Rogers.Kelly@gmail.com,0,6,2015-07-06,
Resort Hotel,104,2015,7,1,5,Online TA,PRT,117.63,Kelly_D@aol.com,0,6,2015-07-06,
Resort Hotel,68,2015,7,2,5,Online TA,PRT,185.0,CWilson@yandex.com,0,6,2015-07-06,
Resort Hotel,86,2015,7,2,5,Offline TA/TO,PRT,71.0,Nicolas_A@outlook.com,1,6,2015-07-06,
Resort Hotel,258,2015,7,2,5,Offline TA/TO,GBR,47.25,Mckinney.Jane@comcast.net,0,6,2015-07-06,
Resort Hotel,111,2015,7,3,5,Online TA,PRT,151.0,Derrick_W94@outlook.com,0,6,2015-07-06,
Resort Hotel,94,2015,7,3,7,Online TA,PRT,87.3,MSchultz71@hotmail.com,1,6,2015-07-06,
Resort Hotel,112,2015,7,3,7,Offline TA/TO,GBR,120.6,Jesse.Wright@comcast.net,0,6,2015-07-06,
Resort Hotel,100,2015,7,3,7,Offline TA/TO,GBR,63.86,Paula_Howard@xfinity.com,0,6,2015-07-06,
Resort Hotel,33,2015,7,3,7,Direct,PRT,157.1,Norman.C23@hotmail.com,0,6,2015-07-06,
Resort Hotel,97,2015,7,3,7,Offline TA/TO,GBR,91.37,Sarah.C@comcast.net,0,6,2015-07-06,
Resort Hotel,80,2015,7,3,8,Direct,FRA,73.0,Robinson_Mary34@att.com,0,6,2015-07-06,
Resort Hotel,90,2015,7,4,10,Offline TA/TO,ITA,110.7,Sarah.W@protonmail.com,0,6,2015-07-06,
Resort Hotel,111,2015,7,4,10,Offline TA/TO,GBR,93.6,Jonathan.T@comcast.net,0,6,2015-07-06,
Resort Hotel,65,2015,7,2,5,Offline TA/TO,PRT,83.5,TammyDelgado@comcast.net,0,6,2015-07-06,
Resort Hotel,67,2015,7,0,2,Online TA,PRT,73.8,Frazier.Kimberly@yandex.com,1,7,2015-07-07,
Resort Hotel,55,2015,7,0,3,Online TA,ESP,82.0,VictoriaHerman@zoho.com,0,7,2015-07-07,
Resort Hotel,21,2015,7,0,3,Direct,PRT,185.5,Abigail_Bowers@yahoo.com,0,7,2015-07-07,
Resort Hotel,8,2015,7,0,0,Direct,PRT,0.0,VHoward23@gmail.com,0,7,2015-07-07,
Resort Hotel,8,2015,7,0,0,Online TA,PRT,0.0,Jenna_Harrington@protonmail.com,0,7,2015-07-07,
Resort Hotel,0,2015,7,0,1,Online TA,GBR,109.8,EHendrix@yandex.com,0,7,2015-07-07,
Resort Hotel,0,2015,7,0,1,Direct,PRT,195.0,Tate.Shannon54@yahoo.com,0,7,2015-07-07,
Resort Hotel,0,2015,7,0,1,Online TA,GBR,109.8,Christopher_J25@gmail.com,0,7,2015-07-07,
Resort Hotel,8,2015,7,0,4,Online TA,ESP,193.0,Jones.Virginia@zoho.com,0,7,2015-07-07,
Resort Hotel,66,2015,7,0,4,Online TA,PRT,97.0,Casey.Cobb89@outlook.com,0,7,2015-07-07,
Resort Hotel,88,2015,7,0,4,Offline TA/TO,USA,150.0,Timothy.K@xfinity.com,0,7,2015-07-07,
Resort Hotel,0,2015,7,0,4,Direct,NLD,98.0,DGilbert@xfinity.com,0,7,2015-07-07,
Resort Hotel,43,2015,7,0,5,Offline TA/TO,PRT,91.5,CAdams@outlook.com,1,7,2015-07-07,
Resort Hotel,88,2015,7,2,5,Online TA,PRT,139.0,Luis_Grant@aol.com,1,7,2015-07-07,
Resort Hotel,54,2015,7,2,5,Offline TA/TO,IRL,79.5,Kevin.B@gmail.com,0,7,2015-07-07,
Resort Hotel,292,2015,7,2,5,Offline TA/TO,PRT,47.25,RWolfe@yahoo.com,1,7,2015-07-07,
Resort Hotel,112,2015,7,4,10,Offline TA/TO,IRL,126.65,LLopez@verizon.com,0,7,2015-07-07,
Resort Hotel,68,2015,7,0,3,Online TA,GBR,107.0,RBaker@zoho.com,0,8,2015-07-08,
Resort Hotel,7,2015,7,0,4,Online TA,PRT,131.0,Malone.Brianna70@comcast.net,0,8,2015-07-08,
Resort Hotel,1,2015,7,0,4,Online TA,ESP,131.0,Paul_Wilson@gmail.com,0,8,2015-07-08,
Resort Hotel,113,2015,7,0,4,Online TA,PRT,123.0,DPeterson@xfinity.com,1,8,2015-07-08,
Resort Hotel,5,2015,7,0,4,Online TA,ESP,146.0,Greene_Brian@comcast.net,0,8,2015-07-08,
Resort Hotel,83,2015,7,0,4,Offline TA/TO,PRT,110.7,Seth_M@att.com,0,8,2015-07-08,
Resort Hotel,105,2015,7,0,4,Online TA,PRT,73.8,Wagner.Sarah@yandex.com,1,8,2015-07-08,
Resort Hotel,0,2015,7,0,1,Offline TA/TO,PRT,61.0,Rivas_Michael63@xfinity.com,0,8,2015-07-08,
Resort Hotel,1,2015,7,0,1,Corporate,PRT,104.72,AmandaMyers@att.com,1,8,2015-07-08,
Resort Hotel,1,2015,7,0,1,Corporate,PRT,104.72,JoshuaPatrick@xfinity.com,1,8,2015-07-08,
Resort Hotel,1,2015,7,0,2,Corporate,CHE,104.72,Mcknight.Martin17@comcast.net,0,8,2015-07-08,
Resort Hotel,102,2015,7,1,4,Direct,PRT,66.42,Robert_Wagner78@att.com,1,8,2015-07-08,
Resort Hotel,113,2015,7,2,4,Direct,PRT,77.96,Leah_Payne26@yahoo.com,0,8,2015-07-08,
Resort Hotel,280,2015,7,2,5,Offline TA/TO,PRT,112.0,VictoriaStewart31@yahoo.com,1,8,2015-07-08,
Resort Hotel,96,2015,7,2,5,Online TA,GBR,107.0,MWright51@aol.com,0,8,2015-07-08,
Resort Hotel,394,2015,7,2,5,Offline TA/TO,GBR,89.68,William.Duncan26@hotmail.com,0,8,2015-07-08,
Resort Hotel,33,2015,7,2,5,Online TA,PRT,155.0,Kelly_Jonathan@zoho.com,0,8,2015-07-08,
Resort Hotel,82,2015,7,2,6,Direct,IRL,112.0,EYoung@gmail.com,0,8,2015-07-08,
Resort Hotel,100,2015,7,2,7,Online TA,DNK,130.1,BSmith32@yandex.com,0,8,2015-07-08,
Resort Hotel,100,2015,7,2,7,Online TA,DNK,100.1,Jennifer.Oliver@outlook.com,0,8,2015-07-08,
Resort Hotel,17,2015,7,0,1,Online TA,PRT,123.0,Jennifer.Cunningham@comcast.net,0,9,2015-07-09,
Resort Hotel,68,2015,7,0,2,Direct,ARG,124.0,Judy.Lucero94@protonmail.com,0,9,2015-07-09,
Resort Hotel,12,2015,7,0,2,Direct,PRT,146.0,Mccoy_Stephanie@zoho.com,0,9,2015-07-09,
